,method,percentage,seed,vendi_score
0,random,100,25,84.23519746889042
1,random,100,26,84.28784028053043
2,random,100,27,84.22229979358713
3,random,100,28,84.42789372893577
4,random,100,29,84.10327675055977
0,random,1,0,81.13963483216173
1,random,1,1,90.18192630561516
2,random,1,2,80.55490692044692
3,random,1,3,87.66259155837665
4,random,1,4,79.86258790549297
5,random,10,5,82.7615482250307
6,random,10,6,84.83165116087687
7,random,10,7,84.71108041047303
8,random,10,8,84.80645784382217
9,random,10,9,86.167025352788
10,geometric_sketching,1,0,235.86006791049473
11,geometric_sketching,1,1,227.1399163028405
12,geometric_sketching,1,2,228.36930858224903
13,geometric_sketching,1,3,237.59513964353425
14,geometric_sketching,1,4,227.60247943784202
15,geometric_sketching,10,5,254.93381176594244
16,geometric_sketching,10,6,257.49276585078997
17,geometric_sketching,10,7,256.0704016062645
18,geometric_sketching,10,8,257.42690907907973
19,geometric_sketching,10,9,256.07087266829313
20,cluster_adaptive,1,0,136.71391069648922
21,cluster_adaptive,1,1,122.40872236193279
22,cluster_adaptive,1,2,134.59261460012402
23,cluster_adaptive,1,3,134.55716219074475
24,cluster_adaptive,1,4,140.45547838088868
25,cluster_adaptive,10,5,119.55008659948078
26,cluster_adaptive,10,6,127.2642987331933
27,cluster_adaptive,10,7,128.93593297184256
28,cluster_adaptive,10,8,128.31326487084598
29,cluster_adaptive,10,9,120.51121045136726
30,spikein10pct,1,0,88.4941794925207
31,spikein10pct,1,1,84.58553030937415
32,spikein10pct,1,2,82.06449622703158
33,spikein10pct,1,3,86.90281009397314
34,spikein10pct,1,4,90.99296538064806
35,spikein10pct,10,5,77.36531409923475
36,spikein10pct,10,6,84.3296297674091
37,spikein10pct,10,7,77.45825142507141
38,spikein10pct,10,8,82.01468359651807
39,spikein10pct,10,9,85.36354219391966
40,spikein50pct,1,0,73.66517344413646
41,spikein50pct,1,1,74.28364868031667
42,spikein50pct,1,2,74.52113942261958
43,spikein50pct,1,3,71.85236315081565
44,spikein50pct,1,4,74.06396829580893
45,spikein50pct,10,5,71.74064616567652
46,spikein50pct,10,6,68.93398271966691
47,spikein50pct,10,7,71.57189886326975
48,spikein50pct,10,8,72.00939853171691
49,spikein50pct,10,9,71.36142127711985
0,random,25,10,84.1416568982057
1,random,25,11,84.37080926483098
2,random,25,12,82.07805314385011
3,random,25,13,81.68865279087917
4,random,25,14,85.48000442822608
5,geometric_sketching,25,10,222.26132198804106
6,geometric_sketching,25,11,223.00611318751524
7,geometric_sketching,25,12,222.3121881318214
8,geometric_sketching,25,13,222.23341328586008
9,geometric_sketching,25,14,222.03619864552002
10,cluster_adaptive,25,10,112.85305304872944
11,cluster_adaptive,25,11,112.00451529425486
12,cluster_adaptive,25,12,112.58048016095812
13,cluster_adaptive,25,13,116.597986805911
14,cluster_adaptive,25,14,109.23197013300644
15,spikein10pct,25,10,78.97411829696037
16,spikein10pct,25,11,84.3357737607601
17,spikein10pct,25,12,83.54567359224562
18,spikein10pct,25,13,78.55275980589762
19,spikein10pct,25,14,84.17771898248509
20,spikein50pct,25,10,70.863466730658
21,spikein50pct,25,11,72.49139697978815
22,spikein50pct,25,12,71.09122702810635
23,spikein50pct,25,13,71.10535396201188
24,spikein50pct,25,14,71.35059555682724
0,random,75,20,81.86059808817213
1,random,75,21,81.64409750621734
2,random,75,22,81.32946049193374
3,random,75,23,84.24423774021653
4,random,75,24,83.95484107089658
5,geometric_sketching,75,20,157.6983582982341
6,geometric_sketching,75,21,157.1474765557225
7,geometric_sketching,75,22,157.541807583687
8,geometric_sketching,75,23,157.20171602215981
9,geometric_sketching,75,24,157.52229427588185
10,cluster_adaptive,75,20,87.88682068839186
11,cluster_adaptive,75,21,87.82342386758707
12,cluster_adaptive,75,22,88.2357406202057
13,cluster_adaptive,75,23,88.20854714776348
14,cluster_adaptive,75,24,87.94265979172752
0,random,50,15,81.5493716735912
1,random,50,16,84.6044207139793
2,random,50,17,84.28703580844119
3,random,50,18,84.36365380857862
4,random,50,19,84.3035561508026
5,geometric_sketching,50,15,193.19053073026018
6,geometric_sketching,50,16,193.61234425576296
7,geometric_sketching,50,17,193.78115673337282
8,geometric_sketching,50,18,193.83529932929213
9,geometric_sketching,50,19,192.6619377219557
10,cluster_adaptive,50,15,124.93494049991044
11,cluster_adaptive,50,16,130.4770993697982
12,cluster_adaptive,50,17,130.9991608642647
13,cluster_adaptive,50,18,130.661961110132
14,cluster_adaptive,50,19,130.79036879374954
