,feature_id,feature_name
98,ENSG00000171735,CAMTA1
99,ENSG00000049245,VAMP3
100,ENSG00000049246,PER3
101,ENSG00000049247,UTS2
102,ENSG00000049249,TNFRSF9
103,ENSG00000116288,PARK7
104,ENSG00000116285,ERRFI1
105,ENSG00000162426,SLC45A1
106,ENSG00000142599,RERE
107,ENSG00000074800,ENO1
108,ENSG00000131686,CA6
109,ENSG00000197241,SLC2A7
110,ENSG00000142583,SLC2A5
111,ENSG00000180758,GPR157
112,ENSG00000049239,H6PD
113,ENSG00000171621,SPSB1
114,ENSG00000171612,SLC25A33
115,ENSG00000188807,TMEM201
116,ENSG00000171608,PIK3CD
117,ENSG00000171603,CLSTN1
118,ENSG00000178585,CTNNBIP1
119,ENSG00000162441,LZIC
120,ENSG00000173614,NMNAT1
121,ENSG00000162444,RBP7
122,ENSG00000130939,UBE4B
123,ENSG00000054523,KIF1B
124,ENSG00000142657,PGD
125,ENSG00000175279,CENPS
126,ENSG00000241563,CORT
127,ENSG00000160049,DFFA
128,ENSG00000142655,PEX14
129,ENSG00000130940,CASZ1
130,ENSG00000175262,C1orf127
131,ENSG00000120948,TARDBP
132,ENSG00000009724,MASP2
133,ENSG00000116649,SRM
134,ENSG00000171824,EXOSC10
135,ENSG00000198793,MTOR
136,ENSG00000171819,ANGPTL7
137,ENSG00000120942,UBIAD1
138,ENSG00000204624,DISP3
139,ENSG00000116661,FBXO2
140,ENSG00000132879,FBXO44
141,ENSG00000116663,FBXO6
142,ENSG00000116670,MAD2L2
143,ENSG00000162490,DRAXIN
144,ENSG00000177674,AGTRAP
145,ENSG00000215910,C1orf167
146,ENSG00000177000,MTHFR
147,ENSG00000011021,CLCN6
148,ENSG00000175206,NPPA
149,ENSG00000120937,NPPB
150,ENSG00000116685,KIAA2013
151,ENSG00000083444,PLOD1
152,ENSG00000116688,MFN2
153,ENSG00000116691,MIIP
154,ENSG00000120949,TNFRSF8
155,ENSG00000028137,TNFRSF1B
156,ENSG00000048707,VPS13D
157,ENSG00000162496,DHRS3
158,ENSG00000204518,AADACL4
159,ENSG00000188984,AADACL3
160,ENSG00000157330,C1orf158
161,ENSG00000116726,PRAMEF12
162,ENSG00000116721,PRAMEF1
163,ENSG00000239810,PRAMEF11
164,ENSG00000179172,HNRNPCL1
165,ENSG00000120952,PRAMEF2
166,ENSG00000243073,PRAMEF4
167,ENSG00000187545,PRAMEF10
168,ENSG00000204510,PRAMEF7
169,ENSG00000232423,PRAMEF6
170,ENSG00000274764,PRAMEF27
171,ENSG00000277058,HNRNPCL3
172,ENSG00000229571,PRAMEF25
173,ENSG00000275774,HNRNPCL2
174,ENSG00000280267,PRAMEF26
175,ENSG00000179412,HNRNPCL4
176,ENSG00000204505,PRAMEF9
177,ENSG00000279169,PRAMEF13
178,ENSG00000279804,PRAMEF18
179,ENSG00000270601,PRAMEF5
180,ENSG00000182330,PRAMEF8
181,ENSG00000237700,PRAMEF33
182,ENSG00000204501,PRAMEF15
183,ENSG00000204481,PRAMEF14
184,ENSG00000204480,PRAMEF19
185,ENSG00000204479,PRAMEF17
186,ENSG00000204478,PRAMEF20
187,ENSG00000162494,LRRC38
188,ENSG00000162493,PDPN
189,ENSG00000116731,PRDM2
190,ENSG00000189337,KAZN
191,ENSG00000171729,TMEM51
192,ENSG00000142621,FHAD1
193,ENSG00000142634,EFHD2
194,ENSG00000162438,CTRC
195,ENSG00000142615,CELA2A
196,ENSG00000215704,CELA2B
197,ENSG00000132906,CASP9
198,ENSG00000116138,DNAJC16
199,ENSG00000116771,AGMAT
200,ENSG00000197312,DDI2
201,ENSG00000215695,RSC1A1
202,ENSG00000116786,PLEKHM2
203,ENSG00000162461,SLC25A34
204,ENSG00000162460,TMEM82
205,ENSG00000162458,FBLIM1
206,ENSG00000233954,UQCRHL
207,ENSG00000065526,SPEN
208,ENSG00000116809,ZBTB17
209,ENSG00000183888,SRARP
210,ENSG00000173641,HSPB7
211,ENSG00000186510,CLCNKA
212,ENSG00000184908,CLCNKB
213,ENSG00000185519,FAM131C
214,ENSG00000142627,EPHA2
215,ENSG00000142632,ARHGEF19
216,ENSG00000132881,CPLANE2
217,ENSG00000037637,FBXO42
218,ENSG00000055070,SZRD1
219,ENSG00000187144,SPATA21
220,ENSG00000157191,NECAP2
221,ENSG00000219481,NBPF1
222,ENSG00000058453,CROCC
223,ENSG00000117122,MFAP2
224,ENSG00000159363,ATP13A2
225,ENSG00000117118,SDHB
226,ENSG00000117115,PADI2
227,ENSG00000142623,PADI1
228,ENSG00000142619,PADI3
229,ENSG00000159339,PADI4
230,ENSG00000276747,PADI6
231,ENSG00000179051,RCC2
232,ENSG00000074964,ARHGEF10L
233,ENSG00000117148,ACTL8
234,ENSG00000117154,IGSF21
235,ENSG00000179023,KLHDC7A
236,ENSG00000009709,PAX7
237,ENSG00000179002,TAS1R2
238,ENSG00000159423,ALDH4A1
239,ENSG00000169991,IFFO2
240,ENSG00000127481,UBR4
241,ENSG00000127463,EMC1
242,ENSG00000053372,MRTO4
243,ENSG00000162482,AKR7A3
244,ENSG00000053371,AKR7A2
245,ENSG00000040487,SLC66A1
246,ENSG00000077549,CAPZB
247,ENSG00000173436,MICOS10
248,ENSG00000158747,NBL1
249,ENSG00000158748,HTR6
250,ENSG00000162542,TMCO4
251,ENSG00000178828,RNF186
252,ENSG00000169914,OTUD3
253,ENSG00000188784,PLA2G2E
254,ENSG00000188257,PLA2G2A
255,ENSG00000127472,PLA2G5
256,ENSG00000117215,PLA2G2D
257,ENSG00000158786,PLA2G2F
258,ENSG00000187980,PLA2G2C
259,ENSG00000162543,UBXN10
260,ENSG00000158816,VWA5B1
261,ENSG00000162545,CAMK2N1
262,ENSG00000090432,MUL1
263,ENSG00000183114,FAM43B
264,ENSG00000158825,CDA
265,ENSG00000158828,PINK1
266,ENSG00000244038,DDOST
267,ENSG00000117245,KIF17
268,ENSG00000189410,SH2D5
269,ENSG00000127483,HP1BP3
270,ENSG00000075151,EIF4G3
271,ENSG00000117298,ECE1
272,ENSG00000142794,NBPF3
273,ENSG00000162551,ALPL
274,ENSG00000076864,RAP1GAP
275,ENSG00000090686,USP48
276,ENSG00000187942,LDLRAD2
277,ENSG00000142798,HSPG2
278,ENSG00000219073,CELA3B
279,ENSG00000142789,CELA3A
280,ENSG00000070831,CDC42
281,ENSG00000162552,WNT4
282,ENSG00000184677,ZBTB40
283,ENSG00000070886,EPHA8
284,ENSG00000173372,C1QA
285,ENSG00000159189,C1QC
286,ENSG00000173369,C1QB
287,ENSG00000133216,EPHB2
288,ENSG00000215906,LACTBL1
289,ENSG00000227868,TEX46
290,ENSG00000004487,KDM1A
291,ENSG00000169641,LUZP1
292,ENSG00000179546,HTR1D
293,ENSG00000125944,HNRNPR
294,ENSG00000125945,ZNF436
295,ENSG00000204219,TCEA3
296,ENSG00000088280,ASAP3
297,ENSG00000007968,E2F2
298,ENSG00000117318,ID3
299,ENSG00000142676,RPL11
300,ENSG00000011007,ELOA
301,ENSG00000057757,PITHD1
302,ENSG00000011009,LYPLA2
303,ENSG00000117308,GALE
304,ENSG00000117305,HMGCL
305,ENSG00000179163,FUCA1
306,ENSG00000188822,CNR2
307,ENSG00000189266,PNRC2
308,ENSG00000188529,SRSF10
309,ENSG00000142661,MYOM3
310,ENSG00000142677,IL22RA1
311,ENSG00000185436,IFNLR1
312,ENSG00000158055,GRHL3
313,ENSG00000001460,STPG1
314,ENSG00000001461,NIPAL3
315,ENSG00000117602,RCAN3
316,ENSG00000184454,NCMAP
317,ENSG00000133226,SRRM1
318,ENSG00000169504,CLIC4
319,ENSG00000020633,RUNX3
320,ENSG00000117614,SYF2
321,ENSG00000117616,RSRP1
322,ENSG00000187010,RHD
323,ENSG00000183726,TMEM50A
324,ENSG00000188672,RHCE
325,ENSG00000204178,MACO1
326,ENSG00000157978,LDLRAP1
327,ENSG00000117643,MAN1C1
328,ENSG00000162430,SELENON
329,ENSG00000117640,MTFR1L
330,ENSG00000127423,AUNIP
331,ENSG00000182749,PAQR7
332,ENSG00000117632,STMN1
333,ENSG00000158006,PAFAH2
334,ENSG00000158008,EXTL1
335,ENSG00000158014,SLC30A2
336,ENSG00000158022,TRIM63
337,ENSG00000175087,PDIK1L
338,ENSG00000197245,FAM110D
339,ENSG00000282872,C1orf232
340,ENSG00000236782,ZNF593OS
341,ENSG00000142684,ZNF593
342,ENSG00000142675,CNKSR1
343,ENSG00000188782,CATSPER4
344,ENSG00000130695,CEP85
345,ENSG00000142669,SH3BGRL3
346,ENSG00000158062,UBXN11
347,ENSG00000169442,CD52
348,ENSG00000176092,CRYBG2
349,ENSG00000176083,ZNF683
350,ENSG00000131914,LIN28A
351,ENSG00000117682,DHDDS
352,ENSG00000198830,HMGN2
353,ENSG00000117676,RPS6KA1
354,ENSG00000117713,ARID1A
355,ENSG00000060642,PIGV
356,ENSG00000204160,ZDHHC18
357,ENSG00000175793,SFN
358,ENSG00000142751,GPN2
359,ENSG00000198746,GPATCH3
360,ENSG00000090273,NUDC
361,ENSG00000131910,NR0B2
362,ENSG00000175707,KDF1
363,ENSG00000253368,TRNP1
364,ENSG00000158246,TENT5B
365,ENSG00000090020,SLC9A1
366,ENSG00000142784,WDTC1
367,ENSG00000186501,TMEM222
368,ENSG00000142765,SYTL1
369,ENSG00000142733,MAP3K6
370,ENSG00000142748,FCN3
371,ENSG00000174950,CD164L2
372,ENSG00000181773,GPR3
373,ENSG00000158195,WASF2
374,ENSG00000126705,AHDC1
375,ENSG00000000938,FGR
376,ENSG00000126709,IFI6
377,ENSG00000009780,FAM76A
378,ENSG00000117758,STX12
379,ENSG00000117751,PPP1R8
380,ENSG00000130775,THEMIS2
381,ENSG00000117748,RPA2
382,ENSG00000130768,SMPDL3B
383,ENSG00000158156,XKR8
384,ENSG00000158161,EYA3
385,ENSG00000169403,PTAFR
386,ENSG00000126698,DNAJC8
387,ENSG00000130770,ATP5IF1
388,ENSG00000130766,SESN2
389,ENSG00000130772,MED18
390,ENSG00000204138,PHACTR4
391,ENSG00000180198,RCC1
392,ENSG00000180098,TRNAU1AP
393,ENSG00000120656,TAF12
394,ENSG00000188060,RAB42
395,ENSG00000162419,GMEB1
396,ENSG00000198492,YTHDF2
397,ENSG00000116329,OPRD1
398,ENSG00000159023,EPB41
399,ENSG00000253304,TMEM200B
400,ENSG00000116350,SRSF4
401,ENSG00000116353,MECR
402,ENSG00000060656,PTPRU
403,ENSG00000162510,MATN1
404,ENSG00000162511,LAPTM5
405,ENSG00000162512,SDC3
406,ENSG00000134644,PUM1
407,ENSG00000084628,NKAIN1
408,ENSG00000060688,SNRNP40
409,ENSG00000121766,ZCCHC17
410,ENSG00000121769,FABP3
411,ENSG00000168528,SERINC2
412,ENSG00000142910,TINAGL1
413,ENSG00000121764,HCRTR1
414,ENSG00000162517,PEF1
415,ENSG00000084636,COL16A1
416,ENSG00000121753,ADGRB2
417,ENSG00000134668,SPOCD1
418,ENSG00000184007,PTP4A2
419,ENSG00000121774,KHDRBS1
420,ENSG00000121775,TMEM39B
421,ENSG00000025800,KPNA6
422,ENSG00000084652,TXLNA
423,ENSG00000160050,CCDC28B
424,ENSG00000160051,IQCC
425,ENSG00000222046,DCDC2B
426,ENSG00000160055,TMEM234
427,ENSG00000084623,EIF3I
428,ENSG00000183615,FAM167B
429,ENSG00000182866,LCK
430,ENSG00000116478,HDAC1
431,ENSG00000175130,MARCKSL1
432,ENSG00000162526,TSSK3
433,ENSG00000225828,FAM229A
434,ENSG00000160058,BSDC1
435,ENSG00000273274,ZBTB8B
436,ENSG00000160062,ZBTB8A
437,ENSG00000176261,ZBTB8OS
438,ENSG00000162521,RBBP4
439,ENSG00000162520,SYNC
440,ENSG00000162522,KIAA1522
441,ENSG00000134684,YARS1
442,ENSG00000116497,S100PBP
443,ENSG00000160097,FNDC5
444,ENSG00000121905,HPCA
445,ENSG00000121900,TMEM54
446,ENSG00000116514,RNF19B
447,ENSG00000004455,AK2
448,ENSG00000142920,AZIN2
449,ENSG00000116525,TRIM62
450,ENSG00000160094,ZNF362
451,ENSG00000184389,A3GALT2
452,ENSG00000134686,PHC2
453,ENSG00000121903,ZSCAN20
454,ENSG00000121904,CSMD2
455,ENSG00000176256,HMGB4
456,ENSG00000142698,C1orf94
457,ENSG00000163866,SMIM12
458,ENSG00000189280,GJB5
459,ENSG00000189433,GJB4
460,ENSG00000188910,GJB3
461,ENSG00000187513,GJA4
462,ENSG00000116544,DLGAP3
463,ENSG00000243749,TMEM35B
464,ENSG00000163867,ZMYM6
465,ENSG00000197056,ZMYM1
466,ENSG00000116560,SFPQ
467,ENSG00000146463,ZMYM4
468,ENSG00000142687,KIAA0319L
469,ENSG00000020129,NCDN
470,ENSG00000116819,TFAP2E
471,ENSG00000126067,PSMB2
472,ENSG00000142686,C1orf216
473,ENSG00000092853,CLSPN
474,ENSG00000134698,AGO4
475,ENSG00000092847,AGO1
476,ENSG00000126070,AGO3
477,ENSG00000092850,TEKT2
478,ENSG00000116863,ADPRS
479,ENSG00000171812,COL8A2
480,ENSG00000054116,TRAPPC3
481,ENSG00000116871,MAP7D1
482,ENSG00000054118,THRAP3
483,ENSG00000214193,SH3D21
484,ENSG00000142694,EVA1B
485,ENSG00000196182,STK40
486,ENSG00000181817,LSM10
487,ENSG00000116885,OSCP1
488,ENSG00000116898,MRPS15
489,ENSG00000119535,CSF3R
490,ENSG00000163873,GRIK3
491,ENSG00000163874,ZC3H12A
492,ENSG00000163875,MEAF6
493,ENSG00000163877,SNIP1
494,ENSG00000163879,DNALI1
495,ENSG00000134697,GNL2
496,ENSG00000169218,RSPO1
497,ENSG00000116922,C1orf109
498,ENSG00000134690,CDCA8
499,ENSG00000183317,EPHA10
500,ENSG00000185090,MANEAL
501,ENSG00000196449,YRDC
502,ENSG00000197982,C1orf122
503,ENSG00000188786,MTF1
504,ENSG00000204084,INPP5B
505,ENSG00000183431,SF3A3
506,ENSG00000183386,FHL3
507,ENSG00000183520,UTP11
508,ENSG00000185668,POU3F1
509,ENSG00000116954,RRAGC
510,ENSG00000214114,MYCBP
511,ENSG00000131233,GJA9
512,ENSG00000158315,RHBDL2
513,ENSG00000174574,AKIRIN1
514,ENSG00000168653,NDUFS5
515,ENSG00000127603,MACF1
516,ENSG00000183682,BMP8A
517,ENSG00000090621,PABPC4
518,ENSG00000163909,HEYL
519,ENSG00000116981,NT5C1A
520,ENSG00000116983,HPCAL4
521,ENSG00000084072,PPIE
522,ENSG00000116985,BMP8B
523,ENSG00000198754,OXCT2
524,ENSG00000043514,TRIT1
525,ENSG00000116990,MYCL
526,ENSG00000168389,MFSD2A
527,ENSG00000131236,CAP1
528,ENSG00000131238,PPT1
529,ENSG00000117000,RLF
530,ENSG00000188800,TMCO2
531,ENSG00000084073,ZMPSTE24
532,ENSG00000049089,COL9A2
533,ENSG00000084070,SMAP2
534,ENSG00000187801,ZFP69B
535,ENSG00000187815,ZFP69
536,ENSG00000164002,EXO5
537,ENSG00000117010,ZNF684
538,ENSG00000117016,RIMS3
539,ENSG00000066136,NFYC
540,ENSG00000117013,KCNQ4
541,ENSG00000179862,CITED4
542,ENSG00000171793,CTPS1
543,ENSG00000171790,SLFNL1
544,ENSG00000010803,SCMH1
545,ENSG00000204060,FOXO6
546,ENSG00000127129,EDN2
547,ENSG00000127124,HIVEP3
548,ENSG00000044012,GUCA2B
549,ENSG00000197273,GUCA2A
550,ENSG00000198815,FOXJ3
551,ENSG00000177181,RIMKLA
552,ENSG00000066185,ZMYND12
553,ENSG00000127125,PPCS
554,ENSG00000186409,CCDC30
555,ENSG00000171960,PPIH
556,ENSG00000065978,YBX1
557,ENSG00000164007,CLDN19
558,ENSG00000117385,P3H1
559,ENSG00000164008,C1orf50
560,ENSG00000274386,TMEM269
561,ENSG00000177868,SVBP
562,ENSG00000164010,ERMAP
563,ENSG00000164011,ZNF691
564,ENSG00000117394,SLC2A1
565,ENSG00000186973,FAM183A
566,ENSG00000117395,EBNA1BP2
567,ENSG00000243710,CFAP57
568,ENSG00000179178,TMEM125
569,ENSG00000253313,C1orf210
570,ENSG00000066056,TIE1
571,ENSG00000117400,MPL
572,ENSG00000117399,CDC20
573,ENSG00000066322,ELOVL1
574,ENSG00000159479,MED8
575,ENSG00000198198,SZT2
576,ENSG00000178922,HYI
577,ENSG00000142949,PTPRF
578,ENSG00000066135,KDM4A
579,ENSG00000126091,ST3GAL3
580,ENSG00000117407,ARTN
581,ENSG00000117408,IPO13
582,ENSG00000132768,DPH2
583,ENSG00000117410,ATP6V0B
584,ENSG00000117411,B4GALT2
585,ENSG00000159214,CCDC24
586,ENSG00000196517,SLC6A9
587,ENSG00000171872,KLF17
588,ENSG00000283039,KLF18
589,ENSG00000178028,DMAP1
590,ENSG00000117419,ERI3
591,ENSG00000187147,RNF220
592,ENSG00000126106,TMEM53
593,ENSG00000198520,ARMH1
594,ENSG00000142945,KIF2C
595,ENSG00000142937,RPS8
596,ENSG00000142959,BEST4
597,ENSG00000173846,PLK3
598,ENSG00000188396,DYNLT4
599,ENSG00000222009,BTBD19
600,ENSG00000117425,PTCH2
601,ENSG00000070785,EIF2B3
602,ENSG00000126107,HECTD3
603,ENSG00000126088,UROD
604,ENSG00000162415,ZSWIM5
605,ENSG00000186603,HPDL
606,ENSG00000132781,MUTYH
607,ENSG00000132773,TOE1
608,ENSG00000070759,TESK2
609,ENSG00000280670,CCDC163
610,ENSG00000132763,MMACHC
611,ENSG00000117450,PRDX1
612,ENSG00000117448,AKR1A1
613,ENSG00000132780,NASP
614,ENSG00000159588,CCDC17
615,ENSG00000159592,GPBP1L1
616,ENSG00000159596,TMEM69
617,ENSG00000197429,IPP
618,ENSG00000086015,MAST2
619,ENSG00000117461,PIK3R3
620,ENSG00000117472,TSPAN1
621,ENSG00000250719,P3R3URF
622,ENSG00000085998,POMGNT1
623,ENSG00000171357,LURAP1
624,ENSG00000085999,RAD54L
625,ENSG00000132128,LRRC41
626,ENSG00000173660,UQCRH
627,ENSG00000117481,NSUN4
628,ENSG00000117480,FAAH
629,ENSG00000197587,DMBX1
630,ENSG00000282881,TMEM275
631,ENSG00000162456,KNCN
632,ENSG00000079277,MKNK1
633,ENSG00000142961,MOB3C
634,ENSG00000123472,ATPAF1
635,ENSG00000186118,TEX38
636,ENSG00000159658,EFCAB14
637,ENSG00000142973,CYP4B1
638,ENSG00000187048,CYP4A11
639,ENSG00000186377,CYP4X1
640,ENSG00000186160,CYP4Z1
641,ENSG00000162365,CYP4A22
642,ENSG00000162366,PDZK1IP1
643,ENSG00000162367,TAL1
644,ENSG00000123473,STIL
645,ENSG00000162368,CMPK1
646,ENSG00000186790,FOXE3
647,ENSG00000186564,FOXD2
648,ENSG00000269113,TRABD2B
649,ENSG00000117834,SLC5A9
650,ENSG00000132122,SPATA6
651,ENSG00000186094,AGBL4
652,ENSG00000162373,BEND5
653,ENSG00000162374,ELAVL4
654,ENSG00000142700,DMRTA2
655,ENSG00000185104,FAF1
656,ENSG00000123080,CDKN2C
657,ENSG00000204006,C1orf185
658,ENSG00000123091,RNF11
659,ENSG00000085831,TTC39A
660,ENSG00000085832,EPS15
661,ENSG00000117859,OSBPL9
662,ENSG00000078618,NRDC
663,ENSG00000169213,RAB3B
664,ENSG00000117862,TXNDC12
665,ENSG00000198841,KTI12
666,ENSG00000134717,BTF3L4
667,ENSG00000157077,ZFYVE9
668,ENSG00000154222,CC2D1B
669,ENSG00000085840,ORC1
670,ENSG00000134748,PRPF38A
671,ENSG00000134744,TUT4
672,ENSG00000116157,GPX7
673,ENSG00000182183,SHISAL2A
674,ENSG00000162377,COA7
675,ENSG00000162378,ZYG11B
676,ENSG00000203995,ZYG11A
677,ENSG00000121310,ECHDC2
678,ENSG00000116171,SCP2
679,ENSG00000174348,PODN
680,ENSG00000162383,SLC1A7
681,ENSG00000157184,CPT2
682,ENSG00000162384,CZIB
683,ENSG00000162385,MAGOH
684,ENSG00000157193,LRP8
685,ENSG00000143006,DMRTB1
686,ENSG00000174332,GLIS1
687,ENSG00000058804,NDC1
688,ENSG00000058799,YIPF1
689,ENSG00000211452,DIO1
690,ENSG00000081870,HSPB11
691,ENSG00000116212,LRRC42
692,ENSG00000203985,LDLRAD1
693,ENSG00000116209,TMEM59
694,ENSG00000116205,TCEANC2
695,ENSG00000157211,CDCP2
696,ENSG00000215883,CYB5RL
697,ENSG00000116221,MRPL37
698,ENSG00000157216,SSBP3
699,ENSG00000162390,ACOT11
700,ENSG00000162391,FAM151A
701,ENSG00000184313,MROH7
702,ENSG00000243725,TTC4
703,ENSG00000162396,PARS2
704,ENSG00000006555,TTC22
705,ENSG00000162398,LEXM
706,ENSG00000116133,DHCR24
707,ENSG00000143001,TMEM61
708,ENSG00000162399,BSND
709,ENSG00000169174,PCSK9
710,ENSG00000162402,USP24
711,ENSG00000162407,PLPP3
712,ENSG00000162409,PRKAA2
713,ENSG00000187889,FYB2
714,ENSG00000157131,C8A
715,ENSG00000021852,C8B
716,ENSG00000173406,DAB1
717,ENSG00000162600,OMA1
718,ENSG00000184292,TACSTD2
719,ENSG00000162601,MYSM1
720,ENSG00000177606,JUN
721,ENSG00000172456,FGGY
722,ENSG00000134709,HOOK1
723,ENSG00000134716,CYP2J2
724,ENSG00000162598,C1orf87
725,ENSG00000162599,NFIA
726,ENSG00000162604,TM2D1
727,ENSG00000132849,PATJ
728,ENSG00000240563,L1TD1
729,ENSG00000132854,KANK4
730,ENSG00000162607,USP1
731,ENSG00000116641,DOCK7
732,ENSG00000132855,ANGPTL3
733,ENSG00000125703,ATG4C
734,ENSG00000187140,FOXD3
735,ENSG00000088035,ALG6
736,ENSG00000142856,ITGB3BP
737,ENSG00000203965,EFCAB7
738,ENSG00000079739,PGM1
739,ENSG00000185483,ROR1
740,ENSG00000177414,UBE2U
741,ENSG00000158966,CACHD1
742,ENSG00000162437,RAVER2
743,ENSG00000162434,JAK1
744,ENSG00000162433,AK4
745,ENSG00000116675,DNAJC6
746,ENSG00000213625,LEPROT
747,ENSG00000116678,LEPR
748,ENSG00000184588,PDE4B
749,ENSG00000118473,SGIP1
750,ENSG00000152760,DYNLT5
751,ENSG00000172410,INSL5
752,ENSG00000152763,DNAI4
753,ENSG00000198160,MIER1
754,ENSG00000116704,SLC35D1
755,ENSG00000203963,C1orf141
756,ENSG00000162594,IL23R
757,ENSG00000081985,IL12RB2
758,ENSG00000142864,SERBP1
759,ENSG00000116717,GADD45A
760,ENSG00000172380,GNG12
761,ENSG00000162595,DIRAS3
762,ENSG00000116729,WLS
763,ENSG00000116745,RPE65
764,ENSG00000024526,DEPDC1
765,ENSG00000033122,LRRC7
766,ENSG00000066557,LRRC40
767,ENSG00000116754,SRSF11
768,ENSG00000118454,ANKRD13C
769,ENSG00000116761,CTH
770,ENSG00000050628,PTGER3
771,ENSG00000132485,ZRANB2
772,ENSG00000172260,NEGR1
773,ENSG00000162620,LRRIQ3
774,ENSG00000254685,FPGT
775,ENSG00000116783,TNNI3K
776,ENSG00000162621,LRRC53
777,ENSG00000178965,ERICH3
778,ENSG00000116791,CRYZ
779,ENSG00000162623,TYW3
780,ENSG00000162624,LHX8
781,ENSG00000137968,SLC44A5
782,ENSG00000117054,ACADM
783,ENSG00000137955,RABGGTB
784,ENSG00000057468,MSH4
785,ENSG00000154007,ASB17
786,ENSG00000184005,ST6GALNAC3
787,ENSG00000117069,ST6GALNAC5
788,ENSG00000142892,PIGK
789,ENSG00000154027,AK5
790,ENSG00000036549,ZZZ3
791,ENSG00000077254,USP33
792,ENSG00000180488,MIGA1
793,ENSG00000162614,NEXN
794,ENSG00000162613,FUBP1
795,ENSG00000162616,DNAJB4
796,ENSG00000137960,GIPC2
797,ENSG00000122420,PTGFR
798,ENSG00000137959,IFI44L
799,ENSG00000137965,IFI44
800,ENSG00000162618,ADGRL4
801,ENSG00000117114,ADGRL2
802,ENSG00000137941,TTLL7
803,ENSG00000142875,PRKACB
804,ENSG00000203943,SAMD13
805,ENSG00000137976,DNASE2B
806,ENSG00000117133,RPF1
807,ENSG00000174021,GNG5
808,ENSG00000122432,SPATA1
809,ENSG00000117151,CTBS
810,ENSG00000117155,SSX2IP
811,ENSG00000171517,LPAR3
812,ENSG00000153898,MCOLN2
813,ENSG00000162643,DNAI3
814,ENSG00000055732,MCOLN3
815,ENSG00000097096,SYDE2
816,ENSG00000162642,C1orf52
817,ENSG00000142867,BCL10
818,ENSG00000153904,DDAH1
