,feature_id,feature_name
0,ENSG00000186092,OR4F5
1,ENSG00000284733,OR4F29
2,ENSG00000284662,OR4F16
3,ENSG00000187634,SAMD11
4,ENSG00000188976,NOC2L
5,ENSG00000187961,KLHL17
6,ENSG00000187583,PLEKHN1
7,ENSG00000187642,PERM1
8,ENSG00000188290,HES4
9,ENSG00000187608,ISG15
10,ENSG00000188157,AGRN
11,ENSG00000237330,RNF223
12,ENSG00000131591,C1orf159
13,ENSG00000162571,TTLL10
14,ENSG00000186891,TNFRSF18
15,ENSG00000186827,TNFRSF4
16,ENSG00000078808,SDF4
17,ENSG00000176022,B3GALT6
18,ENSG00000184163,C1QTNF12
19,ENSG00000160087,UBE2J2
20,ENSG00000162572,SCNN1D
21,ENSG00000131584,ACAP3
22,ENSG00000169972,PUSL1
23,ENSG00000127054,INTS11
24,ENSG00000224051,CPTP
25,ENSG00000169962,TAS1R3
26,ENSG00000107404,DVL1
27,ENSG00000162576,MXRA8
28,ENSG00000175756,AURKAIP1
29,ENSG00000221978,CCNL2
30,ENSG00000242485,MRPL20
31,ENSG00000235098,ANKRD65
32,ENSG00000205116,TMEM88B
33,ENSG00000179403,VWA1
34,ENSG00000215915,ATAD3C
35,ENSG00000160072,ATAD3B
36,ENSG00000197785,ATAD3A
37,ENSG00000205090,TMEM240
38,ENSG00000160075,SSU72
39,ENSG00000228594,FNDC10
40,ENSG00000197530,MIB2
41,ENSG00000189409,MMP23B
42,ENSG00000248333,CDK11B
43,ENSG00000189339,SLC35E2B
44,ENSG00000008128,CDK11A
45,ENSG00000008130,NADK
46,ENSG00000078369,GNB1
47,ENSG00000169885,CALML6
48,ENSG00000178821,TMEM52
49,ENSG00000142609,CFAP74
50,ENSG00000187730,GABRD
51,ENSG00000067606,PRKCZ
52,ENSG00000162585,FAAP20
53,ENSG00000157933,SKI
54,ENSG00000116151,MORN1
55,ENSG00000157916,RER1
56,ENSG00000157911,PEX10
57,ENSG00000149527,PLCH2
58,ENSG00000157881,PANK4
59,ENSG00000197921,HES5
60,ENSG00000157873,TNFRSF14
61,ENSG00000157870,PRXL2B
62,ENSG00000142606,MMEL1
63,ENSG00000215912,TTC34
64,ENSG00000169717,ACTRT2
65,ENSG00000142611,PRDM16
66,ENSG00000130762,ARHGEF16
67,ENSG00000162591,MEGF6
68,ENSG00000158109,TPRG1L
69,ENSG00000116213,WRAP73
70,ENSG00000078900,TP73
71,ENSG00000162592,CCDC27
72,ENSG00000235169,SMIM1
73,ENSG00000130764,LRRC47
74,ENSG00000116198,CEP104
75,ENSG00000169598,DFFB
76,ENSG00000198912,C1orf174
77,ENSG00000196581,AJAP1
78,ENSG00000131697,NPHP4
79,ENSG00000069424,KCNAB2
80,ENSG00000116254,CHD5
81,ENSG00000116251,RPL22
82,ENSG00000158286,RNF207
83,ENSG00000116237,ICMT
84,ENSG00000173673,HES3
85,ENSG00000158292,GPR153
86,ENSG00000097021,ACOT7
87,ENSG00000069812,HES2
88,ENSG00000187017,ESPN
89,ENSG00000215788,TNFRSF25
90,ENSG00000171680,PLEKHG5
91,ENSG00000162408,NOL9
92,ENSG00000173662,TAS1R1
93,ENSG00000204859,ZBTB48
94,ENSG00000162413,KLHL21
95,ENSG00000116273,PHF13
96,ENSG00000041988,THAP3
97,ENSG00000007923,DNAJC11
