,mse,R2,percentage,seed,downsampling_method,dataset
0,0.0022016065,0.9608049518457635,10,5,celltype_reweighted,dinaciclib
0,0.0008121569,0.9858465789446652,10,6,celltype_reweighted,dinaciclib
0,0.00093447365,0.9832832402383358,10,7,celltype_reweighted,dinaciclib
0,0.0009447194,0.9831610520933103,10,8,celltype_reweighted,dinaciclib
0,0.0015831728,0.9717814697575133,10,9,celltype_reweighted,dinaciclib
0,0.0007572918,0.9867974792957915,1,0,celltype_reweighted,dinaciclib
0,0.0008260459,0.9851893441690834,1,1,celltype_reweighted,dinaciclib
0,0.0010219696,0.9822511889596119,1,2,celltype_reweighted,dinaciclib
0,0.0008651502,0.9848243445793943,1,3,celltype_reweighted,dinaciclib
0,0.0006430882,0.9879603409737985,1,4,celltype_reweighted,dinaciclib
0,0.00069876557,0.986914488647106,25,10,celltype_reweighted,dinaciclib
0,0.0006336064,0.9888397144010685,25,11,celltype_reweighted,dinaciclib
0,0.0010364584,0.9817218747942549,25,12,celltype_reweighted,dinaciclib
0,0.0007837648,0.986849138503541,25,13,celltype_reweighted,dinaciclib
0,0.0006407704,0.9884723198717879,25,14,celltype_reweighted,dinaciclib
0,0.001611626,0.9713849608476822,50,15,celltype_reweighted,dinaciclib
0,0.00067569513,0.987566489605404,50,16,celltype_reweighted,dinaciclib
0,0.0008023899,0.9860609678868901,50,17,celltype_reweighted,dinaciclib
0,0.00084349525,0.9856059265128382,50,18,celltype_reweighted,dinaciclib
0,0.0006515586,0.9880465478814348,50,19,celltype_reweighted,dinaciclib
0,0.0006258642,0.9889725036277419,75,20,celltype_reweighted,dinaciclib
0,0.00071533746,0.9877371326218158,75,21,celltype_reweighted,dinaciclib
0,0.00077176024,0.9857709077561341,75,22,celltype_reweighted,dinaciclib
0,0.0006315775,0.9889123348390202,75,23,celltype_reweighted,dinaciclib
0,0.0005444917,0.9897271449258149,75,24,celltype_reweighted,dinaciclib
0,0.0007135129,0.9867141033987332,10,5,geometric_sketching,dinaciclib
0,0.0008369422,0.9854952269518851,10,6,geometric_sketching,dinaciclib
0,0.0016607125,0.9716317759690764,10,7,geometric_sketching,dinaciclib
0,0.0007271692,0.9878962403969885,10,8,geometric_sketching,dinaciclib
0,0.00092591846,0.9842292986318926,10,9,geometric_sketching,dinaciclib
0,0.0012439408,0.9776717495316258,1,0,geometric_sketching,dinaciclib
0,0.0009540942,0.9825858921701425,1,1,geometric_sketching,dinaciclib
0,0.0007592104,0.9858660420916632,1,2,geometric_sketching,dinaciclib
0,0.00072063995,0.9868877540716112,1,3,geometric_sketching,dinaciclib
0,0.00086274516,0.9850142188108506,1,4,geometric_sketching,dinaciclib
