,mse,R2,percentage,seed,downsampling_method,dataset
0,0.0016315705,0.9804364222913187,10,5,celltype_reweighted,dinaciclib
0,0.0018217926,0.9761659071827133,10,6,celltype_reweighted,dinaciclib
0,0.0032018267,0.9610201404762612,10,7,celltype_reweighted,dinaciclib
0,0.003171495,0.9687804683151547,10,8,celltype_reweighted,dinaciclib
0,0.0012353571,0.9823994719688768,10,9,celltype_reweighted,dinaciclib
0,0.0015123399,0.9808276143605316,1,0,celltype_reweighted,dinaciclib
0,0.0021619906,0.9734702431167239,1,1,celltype_reweighted,dinaciclib
0,0.001638657,0.9785302685794938,1,2,celltype_reweighted,dinaciclib
0,0.0024773984,0.9690789991154406,1,3,celltype_reweighted,dinaciclib
0,0.003863434,0.9624251521476503,1,4,celltype_reweighted,dinaciclib
0,0.003754373,0.953157224533378,25,10,celltype_reweighted,dinaciclib
0,0.0020680258,0.9739900264403408,25,11,celltype_reweighted,dinaciclib
0,0.0017770325,0.9772889072219251,25,12,celltype_reweighted,dinaciclib
0,0.0017442052,0.9757490949897928,25,13,celltype_reweighted,dinaciclib
0,0.0031980365,0.9603821464339303,25,14,celltype_reweighted,dinaciclib
0,0.0018018995,0.97744813862526,50,15,celltype_reweighted,dinaciclib
0,0.0035502661,0.9633479147858419,50,16,celltype_reweighted,dinaciclib
0,0.0014675697,0.9799576521489126,50,17,celltype_reweighted,dinaciclib
0,0.00088005053,0.9864593469020074,50,18,celltype_reweighted,dinaciclib
0,0.002490162,0.9709200484993776,50,19,celltype_reweighted,dinaciclib
0,0.005366482,0.930476909083567,75,20,celltype_reweighted,dinaciclib
0,0.0032645126,0.9621665774028773,75,21,celltype_reweighted,dinaciclib
0,0.0015968072,0.9798142457135577,75,22,celltype_reweighted,dinaciclib
0,0.0027995596,0.9724093197487462,75,23,celltype_reweighted,dinaciclib
0,0.0025672708,0.9694352997542984,75,24,celltype_reweighted,dinaciclib
0,0.0036569159,0.9678025082210844,10,5,geometric_sketching,dinaciclib
0,0.00637357,0.9173341522833114,10,6,geometric_sketching,dinaciclib
0,0.0033710096,0.9623118568629778,10,7,geometric_sketching,dinaciclib
0,0.0024257016,0.9732058584431491,10,8,geometric_sketching,dinaciclib
0,0.0015407763,0.9817781878601528,10,9,geometric_sketching,dinaciclib
0,0.00090976316,0.9838151797713275,1,0,geometric_sketching,dinaciclib
0,0.0037496116,0.9553568670590767,1,1,geometric_sketching,dinaciclib
0,0.002079594,0.977898959840601,1,2,geometric_sketching,dinaciclib
0,0.0029749863,0.9672389632263942,1,3,geometric_sketching,dinaciclib
0,0.0029942747,0.9621349456404658,1,4,geometric_sketching,dinaciclib
