,accuracy,precision,recall,micro_f1,macro_f1,percentage,seed,downsampling_method,dataset
0,0.9382856119189085,0.9116493983313249,0.8256308952921988,0.9382856119189085,0.8536072201432394,-1,-1,na,hematopoiesis
0,0.892463981570649,0.7984299446371997,0.7757980651272217,0.892463981570649,0.7819746807884115,-1,-1,na,periodontitis
0,0.9935462768433369,0.988653112473707,0.98964545941513,0.9935462768433369,0.9891465751403313,-1,-1,na,placenta
0,0.9718132854578097,0.9564226303886397,0.960737715817306,0.9718132854578097,0.9582170750581773,-1,-1,na,intestine
