,mse,R2,percentage,seed,downsampling_method,dataset
0,0.0012007756,0.9792662538716825,25,10,geometric_sketching,dinaciclib
0,0.0009399538,0.9853514747851068,25,11,geometric_sketching,dinaciclib
0,0.00075207365,0.989371854244603,25,12,geometric_sketching,dinaciclib
0,0.0009906081,0.9826900751023981,25,13,geometric_sketching,dinaciclib
0,0.0010858792,0.9880278549697559,25,14,geometric_sketching,dinaciclib
0,0.00059660623,0.9893894033694629,50,15,geometric_sketching,dinaciclib
0,0.0011664476,0.9830342813507084,50,16,geometric_sketching,dinaciclib
0,0.00081212784,0.9890683935951147,50,17,geometric_sketching,dinaciclib
0,0.0012590014,0.9848343092218934,50,18,geometric_sketching,dinaciclib
0,0.0007783779,0.9884444523492307,50,19,geometric_sketching,dinaciclib
0,0.0007166168,0.9905014633315172,75,20,geometric_sketching,dinaciclib
0,0.00057147536,0.9898146257803387,75,21,geometric_sketching,dinaciclib
0,0.00095709314,0.9892034824757684,75,22,geometric_sketching,dinaciclib
0,0.0012620345,0.9862764255306384,75,23,geometric_sketching,dinaciclib
0,0.0014356665,0.9821585568385065,75,24,geometric_sketching,dinaciclib
0,0.0012545908,0.9817628464069525,100,25,random,dinaciclib
0,0.00090631,0.9916142989094326,100,26,random,dinaciclib
0,0.0011362478,0.9847850170125902,100,27,random,dinaciclib
0,0.0010639786,0.9850961300880765,100,28,random,dinaciclib
0,0.0013343106,0.9818274069083142,100,29,random,dinaciclib
0,0.0007312071,0.987636474234318,10,5,random,dinaciclib
0,0.00092890934,0.9866230086119891,10,6,random,dinaciclib
0,0.0008311722,0.9858218518547582,10,7,random,dinaciclib
0,0.0039737886,0.9302666736931934,10,8,random,dinaciclib
0,0.0017343499,0.9742461367099576,10,9,random,dinaciclib
0,0.0022008193,0.9731577357249231,1,0,random,dinaciclib
0,0.0031676192,0.9456406507302629,1,1,random,dinaciclib
0,0.0024657883,0.9594837954939248,1,2,random,dinaciclib
0,0.0019410226,0.969989530432154,1,3,random,dinaciclib
0,0.0012995319,0.9811992622914837,1,4,random,dinaciclib
0,0.0017804743,0.9735862996837017,25,10,random,dinaciclib
0,0.0012918288,0.9813625196389846,25,11,random,dinaciclib
0,0.0013170986,0.9762383729058262,25,12,random,dinaciclib
0,0.0026243397,0.9637882815299135,25,13,random,dinaciclib
0,0.00074537995,0.9881021304897788,25,14,random,dinaciclib
0,0.001620027,0.9814796307399943,50,15,random,dinaciclib
0,0.0013735255,0.9848529970454585,50,16,random,dinaciclib
0,0.0013350216,0.9846363898229218,50,17,random,dinaciclib
0,0.000786713,0.9878387594622962,50,18,random,dinaciclib
0,0.0010805259,0.9854211265739246,50,19,random,dinaciclib
0,0.00074688805,0.9898221512553675,75,20,random,dinaciclib
0,0.0009704017,0.9880745582749688,75,21,random,dinaciclib
0,0.00063348515,0.9915310075614007,75,22,random,dinaciclib
0,0.0010430114,0.9816959235383877,75,23,random,dinaciclib
0,0.00074786326,0.9888436084414428,75,24,random,dinaciclib
0,0.0014846093,0.9893046594116095,10,5,celltype_reweighted,homoharringtonine
0,0.0010815829,0.9922275948437052,10,6,celltype_reweighted,homoharringtonine
0,0.00086173404,0.9940686646486909,10,7,celltype_reweighted,homoharringtonine
0,0.0016921585,0.9881450377810304,10,8,celltype_reweighted,homoharringtonine
0,0.0014302433,0.9900836704601712,10,9,celltype_reweighted,homoharringtonine
0,0.0052520144,0.9667176282057881,1,0,celltype_reweighted,homoharringtonine
0,0.0037184688,0.974712989834008,1,1,celltype_reweighted,homoharringtonine
0,0.008565345,0.9494971488549159,1,2,celltype_reweighted,homoharringtonine
0,0.0022955148,0.9873880772696795,1,3,celltype_reweighted,homoharringtonine
0,0.0009835114,0.9930561581454581,1,4,celltype_reweighted,homoharringtonine
0,0.002178666,0.9845514451566953,25,10,celltype_reweighted,homoharringtonine
0,0.0021233768,0.9853555926446455,25,11,celltype_reweighted,homoharringtonine
0,0.0009834229,0.9931805455132011,25,12,celltype_reweighted,homoharringtonine
0,0.004177319,0.975532893280104,25,13,celltype_reweighted,homoharringtonine
0,0.0012511553,0.991036576332344,25,14,celltype_reweighted,homoharringtonine
0,0.0014195628,0.9917346191890837,50,15,celltype_reweighted,homoharringtonine
0,0.0016027816,0.990013616438862,50,16,celltype_reweighted,homoharringtonine
0,0.0010669209,0.99262976837764,50,17,celltype_reweighted,homoharringtonine
0,0.0010810981,0.9926592072921342,50,18,celltype_reweighted,homoharringtonine
0,0.0013696546,0.9901403330857121,50,19,celltype_reweighted,homoharringtonine
0,0.0011334624,0.9932673746631809,75,20,celltype_reweighted,homoharringtonine
0,0.0008596149,0.9942052306782914,75,21,celltype_reweighted,homoharringtonine
0,0.0013062202,0.9910711068703296,75,22,celltype_reweighted,homoharringtonine
0,0.002286525,0.9889320926310671,75,23,celltype_reweighted,homoharringtonine
0,0.001498912,0.9903023615702138,75,24,celltype_reweighted,homoharringtonine
0,0.0008859804,0.9938465242314056,10,5,geometric_sketching,homoharringtonine
0,0.0010080923,0.9928012382572152,10,6,geometric_sketching,homoharringtonine
0,0.0011420733,0.9918088214281935,10,7,geometric_sketching,homoharringtonine
0,0.0020774715,0.9850315326995401,10,8,geometric_sketching,homoharringtonine
0,0.0012211313,0.9917736040573042,10,9,geometric_sketching,homoharringtonine
0,0.0023703864,0.9831986354626403,1,0,geometric_sketching,homoharringtonine
0,0.004059823,0.9724417844389689,1,1,geometric_sketching,homoharringtonine
0,0.0011486488,0.9917712955171254,1,2,geometric_sketching,homoharringtonine
0,0.00078305753,0.9946747123305885,1,3,geometric_sketching,homoharringtonine
0,0.00402414,0.9745278510743144,1,4,geometric_sketching,homoharringtonine
0,0.001390321,0.9900257338673069,25,10,geometric_sketching,homoharringtonine
0,0.0009803543,0.9930900430522676,25,11,geometric_sketching,homoharringtonine
0,0.0014003295,0.9902304528405982,25,12,geometric_sketching,homoharringtonine
0,0.001055845,0.9926143170526607,25,13,geometric_sketching,homoharringtonine
0,0.0012393355,0.991849639220989,25,14,geometric_sketching,homoharringtonine
0,0.0017135845,0.9890766896702531,50,15,geometric_sketching,homoharringtonine
0,0.001607183,0.9890749453091108,50,16,geometric_sketching,homoharringtonine
0,0.0010447286,0.9931407253340707,50,17,geometric_sketching,homoharringtonine
0,0.00140692,0.9906429520852809,50,18,geometric_sketching,homoharringtonine
0,0.0011775827,0.9916816738047436,50,19,geometric_sketching,homoharringtonine
0,0.00145779,0.9898674460170458,75,20,geometric_sketching,homoharringtonine
0,0.00096660166,0.9932828165874027,75,21,geometric_sketching,homoharringtonine
0,0.0012586529,0.9910558046660831,75,22,geometric_sketching,homoharringtonine
0,0.0019809066,0.9915655057673264,75,23,geometric_sketching,homoharringtonine
0,0.0011775295,0.9919292661208627,75,24,geometric_sketching,homoharringtonine
0,0.0011259567,0.9920279306514107,100,25,random,homoharringtonine
0,0.0022999097,0.9877634664317292,100,26,random,homoharringtonine
0,0.0010002339,0.9930710818967353,100,27,random,homoharringtonine
0,0.0017428814,0.9898863235508374,100,28,random,homoharringtonine
0,0.001849635,0.9869229148207964,100,29,random,homoharringtonine
0,0.0017813646,0.9875612340192809,10,5,random,homoharringtonine
0,0.0011137899,0.9921806021048891,10,6,random,homoharringtonine
0,0.0008719493,0.9939587553086913,10,7,random,homoharringtonine
0,0.002786398,0.9800261242054786,10,8,random,homoharringtonine
0,0.0034402001,0.9777196865246055,10,9,random,homoharringtonine
0,0.002906691,0.9815529557175852,1,0,random,homoharringtonine
0,0.0007949434,0.9943351376599818,1,1,random,homoharringtonine
0,0.011417756,0.9239807123598929,1,2,random,homoharringtonine
0,0.0071611186,0.9603522827135724,1,3,random,homoharringtonine
0,0.012132142,0.9456873586952587,1,4,random,homoharringtonine
0,0.0031448158,0.980843871257144,25,10,random,homoharringtonine
0,0.0017409881,0.9874666884383281,25,11,random,homoharringtonine
0,0.00090837607,0.9936962696886434,25,12,random,homoharringtonine
0,0.0014682824,0.9894985511646767,25,13,random,homoharringtonine
0,0.0010004208,0.9936396422757522,25,14,random,homoharringtonine
0,0.0013668211,0.9915989123230533,50,15,random,homoharringtonine
0,0.0010351116,0.9929715138002809,50,16,random,homoharringtonine
0,0.0014228639,0.9903533187515535,50,17,random,homoharringtonine
0,0.0009472143,0.9931880298998542,50,18,random,homoharringtonine
0,0.0009471223,0.9937254512482252,50,19,random,homoharringtonine
0,0.0018670345,0.9892059327127032,75,20,random,homoharringtonine
0,0.0026719226,0.9845517287190676,75,21,random,homoharringtonine
0,0.001573314,0.9899623082893148,75,22,random,homoharringtonine
0,0.0008791627,0.9938058258085438,75,23,random,homoharringtonine
0,0.0011108741,0.9925155044357599,75,24,random,homoharringtonine
0,0.0008284394,0.9922519100731214,10,5,celltype_reweighted,ph797804
0,0.00089580263,0.9921622923025327,10,6,celltype_reweighted,ph797804
0,0.0019225575,0.9842943871245259,10,7,celltype_reweighted,ph797804
0,0.0009996423,0.9912427152990262,10,8,celltype_reweighted,ph797804
0,0.0031940215,0.9749854595378281,10,9,celltype_reweighted,ph797804
0,0.0013903341,0.9896986205809926,1,0,celltype_reweighted,ph797804
0,0.0046496317,0.9659051864708124,1,1,celltype_reweighted,ph797804
0,0.0052183447,0.9649377557953753,1,2,celltype_reweighted,ph797804
0,0.008857312,0.9361934252307722,1,3,celltype_reweighted,ph797804
0,0.003470633,0.9727814796037344,1,4,celltype_reweighted,ph797804
0,0.0014099615,0.986908499112115,25,10,celltype_reweighted,ph797804
0,0.0011541726,0.9883891074748943,25,11,celltype_reweighted,ph797804
0,0.0015995692,0.9852348793624615,25,12,celltype_reweighted,ph797804
0,0.0009341371,0.9923894132669105,25,13,celltype_reweighted,ph797804
0,0.0011706967,0.9893510139101704,25,14,celltype_reweighted,ph797804
0,0.0023390716,0.9864654979471101,50,15,celltype_reweighted,ph797804
0,0.0009988083,0.9918170646886306,50,16,celltype_reweighted,ph797804
0,0.0011288822,0.9898871858924938,50,17,celltype_reweighted,ph797804
0,0.0012201152,0.9913390345313026,50,18,celltype_reweighted,ph797804
0,0.0007651062,0.992712984495079,50,19,celltype_reweighted,ph797804
0,0.0015492252,0.9895396801374529,75,20,celltype_reweighted,ph797804
0,0.0019669326,0.9902736553573052,75,21,celltype_reweighted,ph797804
0,0.0013720402,0.9896912807396329,75,22,celltype_reweighted,ph797804
0,0.0011238302,0.9903704543276955,75,23,celltype_reweighted,ph797804
0,0.00097592303,0.9916659736264638,75,24,celltype_reweighted,ph797804
0,0.0013052332,0.9886297869642915,10,5,geometric_sketching,ph797804
0,0.0018416682,0.9846112409489225,10,6,geometric_sketching,ph797804
0,0.00086443813,0.9918733173741328,10,7,geometric_sketching,ph797804
0,0.0010793438,0.9902281315023737,10,8,geometric_sketching,ph797804
0,0.0016894959,0.9836026591198617,10,9,geometric_sketching,ph797804
0,0.0010393772,0.9903652108664334,1,0,geometric_sketching,ph797804
0,0.0022360242,0.9791130592507055,1,1,geometric_sketching,ph797804
0,0.0008313949,0.9922627127615378,1,2,geometric_sketching,ph797804
0,0.0032437705,0.9729037958895654,1,3,geometric_sketching,ph797804
0,0.0008645614,0.9914567990112894,1,4,geometric_sketching,ph797804
0,0.0012030096,0.989009156715655,25,10,geometric_sketching,ph797804
0,0.0019906827,0.9856058049032065,25,11,geometric_sketching,ph797804
0,0.0019108711,0.9831254266661891,25,12,geometric_sketching,ph797804
0,0.0024992682,0.979420713884721,25,13,geometric_sketching,ph797804
0,0.00079913327,0.9926968808505914,25,14,geometric_sketching,ph797804
0,0.0011212096,0.9912229404109782,50,15,geometric_sketching,ph797804
0,0.001853608,0.9875628479364449,50,16,geometric_sketching,ph797804
0,0.0013663166,0.9893940372330751,50,17,geometric_sketching,ph797804
0,0.0020823271,0.983681800111734,50,18,geometric_sketching,ph797804
0,0.0018217779,0.9849606763984171,50,19,geometric_sketching,ph797804
0,0.0011770222,0.9898054583497224,75,20,geometric_sketching,ph797804
0,0.0009344913,0.9926660356100485,75,21,geometric_sketching,ph797804
0,0.0011593855,0.9902305988607604,75,22,geometric_sketching,ph797804
0,0.0013770827,0.9913994963688106,75,23,geometric_sketching,ph797804
0,0.0010059075,0.9921922290549913,75,24,geometric_sketching,ph797804
0,0.002172149,0.9922781614950216,100,25,random,ph797804
0,0.001582767,0.9918867137582473,100,26,random,ph797804
0,0.0014598081,0.9913310631118484,100,27,random,ph797804
0,0.0012220775,0.992630444111977,100,28,random,ph797804
0,0.0009370692,0.991694751485108,100,29,random,ph797804
0,0.0025430748,0.9761793161198971,10,5,random,ph797804
0,0.0024064416,0.9797345405429377,10,6,random,ph797804
0,0.0033865415,0.9725546352328198,10,7,random,ph797804
0,0.0016620414,0.9839251432162001,10,8,random,ph797804
0,0.00246411,0.9801607266498533,10,9,random,ph797804
0,0.0031729667,0.9790645191683078,1,0,random,ph797804
0,0.004157156,0.9632985548822866,1,1,random,ph797804
0,0.00495155,0.9637385685143142,1,2,random,ph797804
0,0.004306238,0.9675742504078079,1,3,random,ph797804
0,0.0018206199,0.9862846198881228,1,4,random,ph797804
0,0.0030749673,0.9784865245169331,25,10,random,ph797804
0,0.0014389936,0.9878423954626362,25,11,random,ph797804
0,0.0012079614,0.9911542419197803,25,12,random,ph797804
0,0.001251023,0.9904493015232793,25,13,random,ph797804
0,0.0013627702,0.9908311055211433,25,14,random,ph797804
0,0.0012431631,0.9903750487262337,50,15,random,ph797804
0,0.0016346682,0.9890564118927277,50,16,random,ph797804
0,0.002061338,0.9854946063918577,50,17,random,ph797804
0,0.0019064518,0.9861853237464974,50,18,random,ph797804
0,0.0014881641,0.9911681551560965,50,19,random,ph797804
0,0.0012457969,0.9919785883574267,75,20,random,ph797804
0,0.0009448614,0.9928641031752028,75,21,random,ph797804
0,0.0017838733,0.9875908380087653,75,22,random,ph797804
0,0.0012808662,0.9887668722654438,75,23,random,ph797804
0,0.0014037763,0.9908002116718513,75,24,random,ph797804
0,0.0046363934,0.9756564843413013,10,5,celltype_reweighted,tak901
0,0.0070335367,0.9628634379288038,10,6,celltype_reweighted,tak901
0,0.003914323,0.9802741272433481,10,7,celltype_reweighted,tak901
0,0.0053315666,0.9722580771610839,10,8,celltype_reweighted,tak901
0,0.0031402754,0.9836456328431858,10,9,celltype_reweighted,tak901
0,0.007071385,0.9631295822858158,1,0,celltype_reweighted,tak901
0,0.010620591,0.9475203983440033,1,1,celltype_reweighted,tak901
0,0.010021658,0.9509179176656163,1,2,celltype_reweighted,tak901
0,0.005534869,0.9709123542904027,1,3,celltype_reweighted,tak901
0,0.004576159,0.9760978367593914,1,4,celltype_reweighted,tak901
0,0.0042878594,0.9774218196052352,25,10,celltype_reweighted,tak901
0,0.005045616,0.9733891738382036,25,11,celltype_reweighted,tak901
0,0.0050034653,0.9736231890167091,25,12,celltype_reweighted,tak901
0,0.003776934,0.9809135784995243,25,13,celltype_reweighted,tak901
0,0.004485386,0.9764338127361315,25,14,celltype_reweighted,tak901
0,0.0036745924,0.9807535638131525,50,15,celltype_reweighted,tak901
0,0.0041310056,0.9783005370833895,50,16,celltype_reweighted,tak901
0,0.0030406,0.984107252968539,50,17,celltype_reweighted,tak901
0,0.0045089046,0.9765690265154003,50,18,celltype_reweighted,tak901
0,0.005126938,0.9729409936039898,50,19,celltype_reweighted,tak901
0,0.0041918512,0.9779175199577229,75,20,celltype_reweighted,tak901
0,0.003746656,0.9803502079824021,75,21,celltype_reweighted,tak901
0,0.0044412753,0.9769195376936839,75,22,celltype_reweighted,tak901
0,0.0035362353,0.9814071907367498,75,23,celltype_reweighted,tak901
0,0.004409907,0.9769863940833269,75,24,celltype_reweighted,tak901
0,0.00619308,0.9672425443556152,10,5,geometric_sketching,tak901
0,0.0037834307,0.980746655854321,10,6,geometric_sketching,tak901
0,0.0053869053,0.9716446725731297,10,7,geometric_sketching,tak901
0,0.005030437,0.9736124985604925,10,8,geometric_sketching,tak901
0,0.0077863694,0.9587792454039915,10,9,geometric_sketching,tak901
0,0.0043425704,0.9772175181774939,1,0,geometric_sketching,tak901
0,0.004748765,0.9756646972751438,1,1,geometric_sketching,tak901
0,0.005783132,0.9696315234109815,1,2,geometric_sketching,tak901
0,0.0056954385,0.9700293829402392,1,3,geometric_sketching,tak901
0,0.004400995,0.9770671943363429,1,4,geometric_sketching,tak901
0,0.003886876,0.9797436541699244,25,10,geometric_sketching,tak901
0,0.0035371485,0.982480229212784,25,11,geometric_sketching,tak901
0,0.0054730545,0.9718651309608359,25,12,geometric_sketching,tak901
0,0.0049750702,0.9741093009841372,25,13,geometric_sketching,tak901
0,0.0049891756,0.973809020754649,25,14,geometric_sketching,tak901
0,0.0048747496,0.974711791489323,50,15,geometric_sketching,tak901
0,0.0053044693,0.9731623049035957,50,16,geometric_sketching,tak901
0,0.004058646,0.9786881074014012,50,17,geometric_sketching,tak901
0,0.004668656,0.9755029736346343,50,18,geometric_sketching,tak901
0,0.0034942469,0.98232013334153,50,19,geometric_sketching,tak901
0,0.003200161,0.9831929795528638,75,20,geometric_sketching,tak901
0,0.0060723904,0.967926786101652,75,21,geometric_sketching,tak901
0,0.0035147595,0.9815692463730185,75,22,geometric_sketching,tak901
0,0.0051762955,0.9730970279623556,75,23,geometric_sketching,tak901
0,0.0052006617,0.9726596476667017,75,24,geometric_sketching,tak901
0,0.0039824983,0.979117970956957,100,25,random,tak901
0,0.005489938,0.9730133832604251,100,26,random,tak901
0,0.0023033023,0.9879528224041383,100,27,random,tak901
0,0.006135306,0.9688020050351284,100,28,random,tak901
0,0.0037598806,0.98039863327428,100,29,random,tak901
0,0.0039263023,0.9805172238331958,10,5,random,tak901
0,0.0042979033,0.9777883827984285,10,6,random,tak901
0,0.0035826114,0.9814680515918068,10,7,random,tak901
0,0.0039039908,0.9807315400344125,10,8,random,tak901
0,0.005269591,0.9722512500164209,10,9,random,tak901
0,0.008192492,0.9587201481973603,1,0,random,tak901
0,0.009517348,0.9557840489366982,1,1,random,tak901
0,0.007538812,0.9606160154904979,1,2,random,tak901
0,0.0071556373,0.9637597631668061,1,3,random,tak901
0,0.006691296,0.9655204272824673,1,4,random,tak901
0,0.0054338956,0.9714240177315507,25,10,random,tak901
0,0.004568272,0.9759747476797845,25,11,random,tak901
0,0.0047442345,0.975143453371706,25,12,random,tak901
0,0.003952059,0.9794657626335508,25,13,random,tak901
0,0.003925497,0.9794039602974207,25,14,random,tak901
0,0.003942227,0.979257483801555,50,15,random,tak901
0,0.0040250123,0.9804667509840415,50,16,random,tak901
0,0.0038629826,0.9796785044621894,50,17,random,tak901
0,0.0047964705,0.9747311767692847,50,18,random,tak901
0,0.0034113398,0.9821671624232539,50,19,random,tak901
0,0.0041938643,0.977913789394219,75,20,random,tak901
0,0.0043645897,0.9769978858080801,75,21,random,tak901
0,0.004879185,0.9750588901153576,75,22,random,tak901
0,0.003438876,0.9822410184783505,75,23,random,tak901
0,0.0038833595,0.980031109174866,75,24,random,tak901
