,mse,R2,percentage,seed,downsampling_method,dataset
0,0.001083799,0.9813196091972078,10,5,celltype_reweighted,dinaciclib
0,0.0009904404,0.9845066028433129,10,6,celltype_reweighted,dinaciclib
0,0.00054593047,0.9901325999839345,10,7,celltype_reweighted,dinaciclib
0,0.00072382763,0.9888119879061207,10,8,celltype_reweighted,dinaciclib
0,0.00084564305,0.986374233748029,10,9,celltype_reweighted,dinaciclib
0,0.0012798299,0.9783126730881658,1,0,celltype_reweighted,dinaciclib
0,0.003145185,0.9503079831886192,1,1,celltype_reweighted,dinaciclib
0,0.002265077,0.9639789515866014,1,2,celltype_reweighted,dinaciclib
0,0.0036402303,0.9503254402469989,1,3,celltype_reweighted,dinaciclib
0,0.00096437073,0.984291708773041,1,4,celltype_reweighted,dinaciclib
0,0.0008300954,0.9857044410160706,25,10,celltype_reweighted,dinaciclib
0,0.0006183857,0.9894876058182744,25,11,celltype_reweighted,dinaciclib
0,0.0013394924,0.9798288010260607,25,12,celltype_reweighted,dinaciclib
0,0.0011325688,0.9832166763864398,25,13,celltype_reweighted,dinaciclib
0,0.0006825877,0.9897419986525131,25,14,celltype_reweighted,dinaciclib
0,0.0007490875,0.9892875444432039,50,15,celltype_reweighted,dinaciclib
0,0.00081161375,0.9879122886044157,50,16,celltype_reweighted,dinaciclib
0,0.0006900358,0.9901672235012401,50,17,celltype_reweighted,dinaciclib
0,0.00057960796,0.9916921933390225,50,18,celltype_reweighted,dinaciclib
0,0.00071818335,0.9889632454378955,50,19,celltype_reweighted,dinaciclib
0,0.00092659885,0.9887684043218351,75,20,celltype_reweighted,dinaciclib
0,0.00069566985,0.9898534204353249,75,21,celltype_reweighted,dinaciclib
0,0.0005343717,0.990949126563773,75,22,celltype_reweighted,dinaciclib
0,0.00045164142,0.9911849097011702,75,23,celltype_reweighted,dinaciclib
0,0.0009944933,0.9872855661702539,75,24,celltype_reweighted,dinaciclib
0,0.00058461505,0.9891944296836507,10,5,geometric_sketching,dinaciclib
0,0.0011763208,0.9807832306038733,10,6,geometric_sketching,dinaciclib
0,0.001200219,0.9802696544596801,10,7,geometric_sketching,dinaciclib
0,0.0009929219,0.9841765245870414,10,8,geometric_sketching,dinaciclib
0,0.00073412474,0.9882776247970257,10,9,geometric_sketching,dinaciclib
0,0.00081500877,0.9860654506311282,1,0,geometric_sketching,dinaciclib
0,0.0013133807,0.9762793904844235,1,1,geometric_sketching,dinaciclib
0,0.00069918064,0.9862237794354227,1,2,geometric_sketching,dinaciclib
0,0.00093690096,0.9830690596275494,1,3,geometric_sketching,dinaciclib
0,0.0008753237,0.9838485035364957,1,4,geometric_sketching,dinaciclib
