,accuracy,precision,recall,micro_f1,macro_f1,percentage,seed,downsampling_method,dataset
0,0.9284861152582861,0.8305962194197202,0.8490339652656533,0.9284861152582861,0.8300666945580626,0,-1,na,hematopoiesis
0,0.8909335727109515,0.8610415524346187,0.8586284044432403,0.8909335727109515,0.8465311268318112,0,-1,na,intestine
0,0.864129921631574,0.7245261527107613,0.6778551070853219,0.864129921631574,0.692291418364784,0,-1,na,periodontitis
0,0.9696798138013462,0.9502671497115742,0.9525049130780652,0.9696798138013462,0.9511992074726235,0,-1,na,placenta
