,mse,R2,percentage,seed,downsampling_method,dataset
0,0.0008178185,0.9853530114765339,10,5,celltype_reweighted,dinaciclib
0,0.00073962036,0.9873931758305557,10,6,celltype_reweighted,dinaciclib
0,0.0014392165,0.9762895626116348,10,7,celltype_reweighted,dinaciclib
0,0.00062362023,0.9893066565655066,10,8,celltype_reweighted,dinaciclib
0,0.0013028947,0.9777499639191093,10,9,celltype_reweighted,dinaciclib
0,0.0006306963,0.9885068368801389,1,0,celltype_reweighted,dinaciclib
0,0.0013004225,0.9785949175146816,1,1,celltype_reweighted,dinaciclib
0,0.0011628623,0.9807922700062675,1,2,celltype_reweighted,dinaciclib
0,0.0016237415,0.9733514875901307,1,3,celltype_reweighted,dinaciclib
0,0.00058676454,0.9891195984667573,1,4,celltype_reweighted,dinaciclib
0,0.00094190147,0.9832161195572933,25,10,celltype_reweighted,dinaciclib
0,0.00084195455,0.98638057371796,25,11,celltype_reweighted,dinaciclib
0,0.0007717324,0.9864036982919971,25,12,celltype_reweighted,dinaciclib
0,0.0007524108,0.9864130019659997,25,13,celltype_reweighted,dinaciclib
0,0.0006821019,0.9878807990271006,25,14,celltype_reweighted,dinaciclib
0,0.00071655103,0.9877740996243977,50,15,celltype_reweighted,dinaciclib
0,0.0007712243,0.9860964008011317,50,16,celltype_reweighted,dinaciclib
0,0.0008657028,0.9855574871627697,50,17,celltype_reweighted,dinaciclib
0,0.0016050271,0.9723131878869393,50,18,celltype_reweighted,dinaciclib
0,0.0007457447,0.9870057782175022,50,19,celltype_reweighted,dinaciclib
0,0.0015350734,0.9748722483567221,75,20,celltype_reweighted,dinaciclib
0,0.001439854,0.9761357136662222,75,21,celltype_reweighted,dinaciclib
0,0.0009034563,0.9838787011083325,75,22,celltype_reweighted,dinaciclib
0,0.00064816105,0.988506196191089,75,23,celltype_reweighted,dinaciclib
0,0.0006769425,0.9884062833554543,75,24,celltype_reweighted,dinaciclib
0,0.0014243058,0.9754232067770013,10,5,geometric_sketching,dinaciclib
0,0.0010930137,0.9815191448889315,10,6,geometric_sketching,dinaciclib
0,0.00076078414,0.986352091654313,10,7,geometric_sketching,dinaciclib
0,0.00096969464,0.9838507672839814,10,8,geometric_sketching,dinaciclib
0,0.0009894232,0.9828331521999989,10,9,geometric_sketching,dinaciclib
0,0.001435381,0.9768657949435017,1,0,geometric_sketching,dinaciclib
0,0.0007679604,0.987010294341095,1,1,geometric_sketching,dinaciclib
0,0.0014176613,0.9777271887690747,1,2,geometric_sketching,dinaciclib
0,0.0008860122,0.9860288109962015,1,3,geometric_sketching,dinaciclib
0,0.0010314073,0.983149297670365,1,4,geometric_sketching,dinaciclib
0,0.0008105559,0.9863802179201302,25,10,geometric_sketching,dinaciclib
0,0.0012213893,0.9795251192951525,25,11,geometric_sketching,dinaciclib
0,0.0005480435,0.9893129132774872,25,12,geometric_sketching,dinaciclib
0,0.0015763557,0.9721710139260293,25,13,geometric_sketching,dinaciclib
0,0.0010499641,0.9813442548988136,25,14,geometric_sketching,dinaciclib
0,0.0010476874,0.9818020963651428,50,15,geometric_sketching,dinaciclib
0,0.0005891155,0.9889321025894124,50,16,geometric_sketching,dinaciclib
0,0.00072977954,0.9871353133208803,50,17,geometric_sketching,dinaciclib
0,0.0007960145,0.985522152402562,50,18,geometric_sketching,dinaciclib
0,0.0011671591,0.9810438056028075,50,19,geometric_sketching,dinaciclib
0,0.00079510704,0.9860482282384933,75,20,geometric_sketching,dinaciclib
0,0.0009718205,0.9835705540666947,75,21,geometric_sketching,dinaciclib
0,0.0009858487,0.9837329349852149,75,22,geometric_sketching,dinaciclib
0,0.0011767017,0.9796128113616442,75,23,geometric_sketching,dinaciclib
0,0.000943541,0.983961743487364,75,24,geometric_sketching,dinaciclib
0,0.0005336349,0.9899912644838064,100,25,random,dinaciclib
0,0.00068716053,0.9883041631062317,100,26,random,dinaciclib
0,0.0008060303,0.9858290674577135,100,27,random,dinaciclib
0,0.000790809,0.9863099737483444,100,28,random,dinaciclib
0,0.0007978231,0.9863215913422391,100,29,random,dinaciclib
0,0.0011537232,0.9793434550634971,10,5,random,dinaciclib
0,0.0010947327,0.9811806078183953,10,6,random,dinaciclib
0,0.00083621556,0.9853068269524454,10,7,random,dinaciclib
0,0.0007759072,0.9864084990086617,10,8,random,dinaciclib
0,0.0009977754,0.983968069347264,10,9,random,dinaciclib
0,0.0009453491,0.9840771758109437,1,0,random,dinaciclib
0,0.0009658334,0.9836222578880311,1,1,random,dinaciclib
0,0.00075606717,0.987750415395011,1,2,random,dinaciclib
0,0.00092389615,0.9846022962052389,1,3,random,dinaciclib
0,0.00057877775,0.9898737296775052,1,4,random,dinaciclib
0,0.00088130933,0.985491113884938,25,10,random,dinaciclib
0,0.00064207823,0.9883293835027361,25,11,random,dinaciclib
